Chargement des bibliothèques.
Chargement terminé.
#n bat sol cpu
4 4 6 0.143419731
8 8 20 0.229022171
6 4 8 0.000279958
1 1 0 3.537e-6
6 6 10 0.000303767
3 2 4 3.7021e-5
8 8 16 0.002455351
3 2 4 3.2087e-5
5 4 8 0.000176431
2 2 2 1.2428e-5
6 72 10 0.000138792
3 72 4 3.2973e-5
6 72 10 0.000390544
2 72 2 1.2693e-5
3 72 4 2.8045e-5
1 72 0 2.465e-6
5 72 8 0.000107307
1 72 0 2.407e-6
10 72 16 0.016827455
6 72 8 0.000208743
6 8 10 0.000171776
9 14 24 0.106755348
9 14 14 0.004121986
7 8 10 0.000704533
5 4 8 0.000178412
5 6 8 9.9491e-5
7 10 14 0.001525558
2 2 2 1.5446e-5
8 12 22 0.018816213
8 12 12 0.0004611
5 72 8 8.0351e-5
3 72 4 3.3811e-5
4 72 6 6.9395e-5
5 72 6 0.000101106
2 72 2 1.5433e-5
8 72 12 0.001545863
6 72 10 0.00023881
2 72 2 1.361e-5
9 72 16 0.006546185
9 72 14 0.004229379
8 8 10 0.002550735
6 8 8 0.000145959
