#n bat sol cpu
4 4 6 0.15486614
8 8 20 0.276525377
6 4 8 0.00041412
1 1 0 5.78e-6
6 6 10 0.000419721
3 2 4 5.3871e-5
8 8 16 0.003303272
3 2 4 4.5691e-5
5 4 8 0.000250271
2 2 2 1.9186e-5
6 72 10 0.000189212
3 72 4 4.1438e-5
6 72 10 0.000595508
2 72 2 2.2117e-5
3 72 4 4.086e-5
1 72 0 6.887e-6
5 72 8 0.000156019
1 72 0 4.636e-6
10 72 16 0.021826642
6 72 8 0.00030052
6 8 10 0.00024459
9 14 24 0.133180432
9 14 14 0.007302993
7 8 10 0.000890161
5 4 8 0.000235581
5 6 8 0.000132987
7 10 14 0.001855691
2 2 2 1.9217e-5
8 12 22 0.023064866
8 12 12 0.000736354
5 72 8 0.000106375
3 72 4 4.5898e-5
4 72 6 8.8257e-5
5 72 6 0.000130423
2 72 2 1.8933e-5
8 72 12 0.001925814
6 72 10 0.000318661
2 72 2 1.9463e-5
9 72 16 0.004932254
9 72 14 0.005187177
8 8 10 0.002927013
6 8 8 0.000176059
#n bat sol cpu
8 8 8 0.155068541
3 4 4 6.6265e-5
10 10 14 0.02799433
2 2 2 2.6104e-5
5 8 8 0.000103515
6 8 8 0.000157009
6 6 10 0.000730847
1 1 0 4.019e-6
3 4 4 3.3067e-5
9 14 14 0.003008454
6 72 8 0.000313416
2 72 2 1.5787e-5
2 72 2 1.4882e-5
2 72 2 1.4419e-5
9 72 10 0.002145916
5 72 8 9.6371e-5
2 72 2 1.4706e-5
3 72 4 3.7832e-5
3 72 4 3.4402e-5
5 72 8 9.4279e-5
9 8 22 1.335814608
13 10 24 72.791001774
#n bat sol cpu
4 2 6 0.167517865
10 6 20 0.605724356
14 20 24 73.695179158
2 2 2 2.1992e-5
5 6 6 0.000108558
8 12 14 0.001164854
9 14 18 0.014242172
1 1 0 4.513e-6
#n bat sol cpu
7 6 14 0.158605292
11 10 14 0.168324586
2 2 2 5.8286e-5
9 8 16 0.095445644
8 8 16 0.017668218
2 2 2 3.8561e-5
6 6 10 0.000314262
6 8 14 0.000766503
6 8 12 0.000674192
9 6 18 0.133446011
8 72 12 0.001463726
12 72 16 1.734687783
12 72 20 0.864134829
5 72 8 0.000180186
8 72 14 0.001990396
6 72 10 0.000491263
3 72 4 4.2828e-5
4 72 6 8.55e-5
4 72 6 8.5601e-5
8 72 14 0.002147431
1 1 0 5.623e-6
8 6 18 0.11123869
#n bat sol cpu
11 8 20 6.671643919
2 2 2 6.0544e-5
12 8 20 1.236528558
#n bat sol cpu
5 6 8 0.193084045
16 14 32 1110.063426974
16 12 30 1154.013755738
6 10 10 0.000268094
5 8 8 0.000129026
7 8 12 0.002326692
8 6 16 0.053662806
#n bat sol cpu
13 10 20 3.445973026
20 18 34 6465.167197839
2 2 2 2.4733e-5
16 16 28 1475.353281869
10 10 18 0.021450024
2 2 2 1.788e-5
7 6 12 0.00311117
1 1 0 4.34e-6
22 16 30 51.287706259
