#n bat sol cpu
4 4 6 0.15486614
8 8 20 0.276525377
6 4 8 0.00041412
1 1 0 5.78e-6
6 6 10 0.000419721
3 2 4 5.3871e-5
8 8 16 0.003303272
3 2 4 4.5691e-5
5 4 8 0.000250271
2 2 2 1.9186e-5
6 72 10 0.000189212
3 72 4 4.1438e-5
6 72 10 0.000595508
2 72 2 2.2117e-5
3 72 4 4.086e-5
1 72 0 6.887e-6
5 72 8 0.000156019
1 72 0 4.636e-6
10 72 16 0.021826642
6 72 8 0.00030052
6 8 10 0.00024459
9 14 24 0.133180432
9 14 14 0.007302993
7 8 10 0.000890161
5 4 8 0.000235581
5 6 8 0.000132987
7 10 14 0.001855691
2 2 2 1.9217e-5
8 12 22 0.023064866
8 12 12 0.000736354
5 72 8 0.000106375
3 72 4 4.5898e-5
4 72 6 8.8257e-5
5 72 6 0.000130423
2 72 2 1.8933e-5
8 72 12 0.001925814
6 72 10 0.000318661
2 72 2 1.9463e-5
9 72 16 0.004932254
9 72 14 0.005187177
8 8 10 0.002927013
6 8 8 0.000176059
